funcao,destino,linhas_definicoes,alguma_definicao_security_definer,alguma_definicao_auth_users,alguma_definicao_auth_context,alguma_definicao_auth_sessions_mfa,alguma_definicao_storage,rpc_literais_runtime
public.fn_log_event,Neon SQL/servico; revisar auth/storage quando marcado,512,True,False,False,False,False,0
public.fn_marcar_contato_como_cliente,Neon SQL/servico; revisar auth/storage quando marcado,25397,True,False,False,False,False,0
public.fn_mark_conversation_message,Neon SQL/servico; revisar auth/storage quando marcado,4976;12971;13022;19230;27917,True,False,False,False,False,0
public.fn_meet_action,Neon SQL/servico; revisar auth/storage quando marcado,21566,True,False,True,False,False,0
public.fn_meet_boundary_current,Neon SQL/servico; revisar auth/storage quando marcado,21210,True,False,False,False,False,0
public.fn_meet_delivery_current,Neon SQL/servico; revisar auth/storage quando marcado,21477,True,False,False,False,False,0
public.fn_meet_delivery_enqueue,Neon SQL/servico; revisar auth/storage quando marcado,21441,True,False,False,False,False,0
public.fn_meet_delivery_policy,Neon SQL/servico; revisar auth/storage quando marcado,21501,True,False,False,False,False,1
public.fn_meet_delivery_settle,Neon SQL/servico; revisar auth/storage quando marcado,21523,True,False,False,False,False,0
public.fn_meet_minimize_runtime,Neon SQL/servico; revisar auth/storage quando marcado,21618,False,False,False,False,False,0
public.fn_meet_notice,Neon SQL/servico; revisar auth/storage quando marcado,21428;22883,True,False,False,False,False,0
public.fn_meet_observe,Neon SQL/servico; revisar auth/storage quando marcado,21264,True,False,False,False,False,0
public.fn_meet_redact_contact,Neon SQL/servico; revisar auth/storage quando marcado,21632;22797,True,False,False,False,False,0
public.fn_meet_stamp,Neon SQL/servico; revisar auth/storage quando marcado,21223,False,False,False,False,False,0
public.fn_member_role_in_org,Neon SQL/servico; revisar auth/storage quando marcado,5187,True,False,True,False,False,0
public.fn_mesclar_contatos,Neon SQL/servico; revisar auth/storage quando marcado,17540;18557;19354;25629,True,False,True,False,False,1
public.fn_message_service_lock,Neon SQL/servico; revisar auth/storage quando marcado,19343,True,False,False,False,False,0
public.fn_modulo_instalar,Neon SQL/servico; revisar auth/storage quando marcado,31945,True,False,False,False,False,0
public.fn_mover_leads_em_lote,Neon SQL/servico; revisar auth/storage quando marcado,17423,False,False,False,False,False,1
public.fn_nascer_lead_da_conversa,Neon SQL/servico; revisar auth/storage quando marcado,24615,False,False,False,False,False,1
public.fn_passagem_devolvida,Neon SQL/servico; revisar auth/storage quando marcado,31091,True,False,True,False,False,1
public.fn_passagem_reconhecida,Neon SQL/servico; revisar auth/storage quando marcado,31019,True,False,False,False,False,0
public.fn_pgrst_recusar_replay_do_gateway,Neon SQL/servico; revisar auth/storage quando marcado,24492,False,False,True,False,False,0
public.fn_podar_fila_de_jobs,Neon SQL/servico; revisar auth/storage quando marcado,13153,True,False,False,False,False,0
public.fn_proteger_modulo_provisionado,Neon SQL/servico; revisar auth/storage quando marcado,6948,False,False,False,False,False,0
public.fn_proteger_tabelas_de_organizacao,Neon SQL/servico; revisar auth/storage quando marcado,6910,False,False,False,False,False,0
public.fn_publish_ai_agent_version,Neon SQL/servico; revisar auth/storage quando marcado,541;7037;21955;22093;22100,True,False,False,False,False,1
public.fn_publish_followup_flow_version,Neon SQL/servico; revisar auth/storage quando marcado,7322,True,False,False,False,False,1
public.fn_reaplicar_modulos_instalados,Neon SQL/servico; revisar auth/storage quando marcado,32014,False,False,False,False,False,0
public.fn_recalcular_cliente_do_contato,Neon SQL/servico; revisar auth/storage quando marcado,25145,True,False,False,False,False,0
public.fn_redigir_agenda_do_contato_anonimizado,Neon SQL/servico; revisar auth/storage quando marcado,14048,True,False,False,False,False,0
public.fn_redigir_captacoes_do_contato_anonimizado,Neon SQL/servico; revisar auth/storage quando marcado,13411,True,False,False,False,False,0
public.fn_redigir_tarefas_do_contato_anonimizado,Neon SQL/servico; revisar auth/storage quando marcado,17932,True,False,False,False,False,0
public.fn_registrar_jid_do_aviso,Neon SQL/servico; revisar auth/storage quando marcado,30420,True,False,False,False,False,0
public.fn_reply_action,Neon SQL/servico; revisar auth/storage quando marcado,21766,True,False,True,False,False,1
public.fn_reply_agent_revision,Neon SQL/servico; revisar auth/storage quando marcado,21662,False,False,False,False,False,0
public.fn_reply_begin,Neon SQL/servico; revisar auth/storage quando marcado,21729,True,False,False,False,False,0
public.fn_reply_channel_revision,Neon SQL/servico; revisar auth/storage quando marcado,21696,True,False,False,False,False,0
public.fn_reply_context_current,Neon SQL/servico; revisar auth/storage quando marcado,21753,True,False,False,False,False,0
public.fn_reply_conversation_revision,Neon SQL/servico; revisar auth/storage quando marcado,21684,False,False,False,False,False,0
public.fn_reply_delivery_policy,Neon SQL/servico; revisar auth/storage quando marcado,21795,True,False,False,True,False,1
public.fn_reply_inbound_revision,Neon SQL/servico; revisar auth/storage quando marcado,21674,True,False,False,False,False,0
public.fn_reply_prepare,Neon SQL/servico; revisar auth/storage quando marcado,21934,True,False,False,False,False,1
public.fn_reply_receipt_policy,Neon SQL/servico; revisar auth/storage quando marcado,21818,True,False,False,False,False,1
public.fn_reply_record_receipt,Neon SQL/servico; revisar auth/storage quando marcado,21863,True,False,False,False,False,1
public.fn_reply_redact,Neon SQL/servico; revisar auth/storage quando marcado,21921,True,False,False,False,False,0
public.fn_reply_settle,Neon SQL/servico; revisar auth/storage quando marcado,21895,True,False,False,False,False,0
public.fn_request_channel_routing,Neon SQL/servico; revisar auth/storage quando marcado,22329,True,False,False,False,False,1
public.fn_reserve_channel_connection,Neon SQL/servico; revisar auth/storage quando marcado,22599;23198;23261,True,False,True,False,False,1
public.fn_role_at_least,Neon SQL/servico; revisar auth/storage quando marcado,664,True,False,False,False,False,0
public.fn_routing_assignment_changed,Neon SQL/servico; revisar auth/storage quando marcado,22449,True,False,False,False,False,0
public.fn_routing_availability_changed,Neon SQL/servico; revisar auth/storage quando marcado,22419,True,False,False,False,False,0
public.fn_routing_member_revoked,Neon SQL/servico; revisar auth/storage quando marcado,22404,True,False,False,False,False,0
public.fn_routing_unassigned_notice,Neon SQL/servico; revisar auth/storage quando marcado,22432,True,False,False,False,False,1
public.fn_seed_default_pipeline_for_org,Neon SQL/servico; revisar auth/storage quando marcado,684,False,False,False,False,False,0
public.fn_seed_org_llm_defaults,Neon SQL/servico; revisar auth/storage quando marcado,9515,False,False,False,False,False,0
public.fn_semear_tipos_de_agendamento,Neon SQL/servico; revisar auth/storage quando marcado,14088,False,False,False,False,False,0
public.fn_semear_tipos_de_agendamento_na_org_nova,Neon SQL/servico; revisar auth/storage quando marcado,14119,False,False,False,False,False,0
public.fn_service_begin,Neon SQL/servico; revisar auth/storage quando marcado,19296,True,False,False,False,False,1
public.fn_service_boundary,Neon SQL/servico; revisar auth/storage quando marcado,19275,True,False,False,False,False,1
public.fn_service_event_origin,Neon SQL/servico; revisar auth/storage quando marcado,19912;20517,True,False,False,False,False,1
public.fn_service_inbound,Neon SQL/servico; revisar auth/storage quando marcado,19039,True,False,False,False,False,0
public.fn_service_lock,Neon SQL/servico; revisar auth/storage quando marcado,19031,False,False,False,False,False,0
public.fn_service_observe,Neon SQL/servico; revisar auth/storage quando marcado,19643,True,False,False,False,False,0
public.fn_service_observe_command,Neon SQL/servico; revisar auth/storage quando marcado,19890,True,False,False,False,False,1
public.fn_service_stamp_status,Neon SQL/servico; revisar auth/storage quando marcado,19186,False,False,False,False,False,0
public.fn_service_status,Neon SQL/servico; revisar auth/storage quando marcado,19099,True,False,False,False,False,2
public.fn_session_mfa_proven,Neon SQL/servico; revisar auth/storage quando marcado,21559,True,False,True,True,False,0
public.fn_set_channel_routing,Neon SQL/servico; revisar auth/storage quando marcado,22368,True,False,True,False,False,1
public.fn_set_updated_at,Neon SQL/servico; revisar auth/storage quando marcado,721,False,False,False,False,False,0
public.fn_situacao_conta_como_atendimento,Neon SQL/servico; revisar auth/storage quando marcado,25123,False,False,False,False,False,0
public.fn_stamp_stage_changed_at,Neon SQL/servico; revisar auth/storage quando marcado,8203,False,False,False,False,False,0
public.fn_start_support,Neon SQL/servico; revisar auth/storage quando marcado,18399,True,False,False,True,False,1
public.fn_support_callback_write_allowed,Neon SQL/servico; revisar auth/storage quando marcado,18849,True,False,False,True,False,1
public.fn_support_context,Neon SQL/servico; revisar auth/storage quando marcado,18350,True,False,True,True,False,1
public.fn_support_storage_write_allowed,Neon SQL/servico; revisar auth/storage quando marcado,18828,True,False,False,False,False,0
public.fn_support_write_allowed,Neon SQL/servico; revisar auth/storage quando marcado,18375,True,False,False,False,False,0
public.fn_tags_de_conversa_em_uso,Neon SQL/servico; revisar auth/storage quando marcado,24333,False,False,False,False,False,1
public.fn_tags_normalizar,Neon SQL/servico; revisar auth/storage quando marcado,26060,False,False,False,False,False,0
public.fn_touch_updated_at,Neon SQL/servico; revisar auth/storage quando marcado,734,False,False,False,False,False,0
public.fn_update_budget_consumption,Neon SQL/servico; revisar auth/storage quando marcado,747,True,False,False,False,False,0
public.fn_update_last_activity_at,Neon SQL/servico; revisar auth/storage quando marcado,767;8592;23793,False,False,False,False,False,0
public.fn_upsert_wa_contact,Neon SQL/servico; revisar auth/storage quando marcado,4947;11288;13451,True,False,False,False,False,1
public.fn_upsert_wa_conversation,Neon SQL/servico; revisar auth/storage quando marcado,4963,True,False,False,False,False,1
public.fn_user_org_ids,Neon SQL/servico; revisar auth/storage quando marcado,788;18384,True,False,True,False,False,0
public.fn_user_role_in,Neon SQL/servico; revisar auth/storage quando marcado,800,True,False,False,False,False,0
public.fn_user_role_in_org,Neon SQL/servico; revisar auth/storage quando marcado,817;18389,True,False,True,False,False,1
public.fn_validate_activity_lead_org,Neon SQL/servico; revisar auth/storage quando marcado,830,False,False,False,False,False,0
public.fn_validate_lost_reason_required,Neon SQL/servico; revisar auth/storage quando marcado,851;26679,False,False,False,False,False,0
public.fn_vocabulario_de_tags,Neon SQL/servico; revisar auth/storage quando marcado,25942,False,False,False,False,False,2
public.fn_vocabulario_de_tags_operar,Neon SQL/servico; revisar auth/storage quando marcado,26102,True,False,False,False,False,1
public.fn_wake_channel_routing,Neon SQL/servico; revisar auth/storage quando marcado,22355,True,False,False,False,False,0
public.midpoint,Neon SQL/servico; revisar auth/storage quando marcado,881,False,False,False,False,False,0
public.retrieve_top_k_chunks,Neon SQL/servico; revisar auth/storage quando marcado,897;9562;12147,True,False,True,False,False,0
public.tags_do_contato,Neon SQL/servico; revisar auth/storage quando marcado,31833,False,False,False,False,False,0
